1,The Big Lebowski,03/06/1998,117,R,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Standard
2,"O Brother, Where Art Thou?",12/22/2000,107,PG-13,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",Standard
3,Se7en,09/22/1995,127,R,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",Standard
4,The Social Network,10/01/2010,120,PG-13,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.",Standard
5,Memento,09/05/2000,113,R,A man with short-term memory loss attempts to track down his wife's murderer.,Standard
6,Batman Begins,06/15/2005,140,PG-13,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Standard
7,The Dark Knight,07/18/2008,153,PG-13,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Standard
8,The Dark Knight Rises,07/20/2012,164,PG-13,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Standard
9,The 40-Year-Old Virgin,08/19/2005,116,R,"Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.",Standard
10,Knocked Up,06/01/2007,129,R,"For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.",Standard
11,Full Metal Jacket,06/26/1987,116,R,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Standard
12,The Shining,05/23/1980,146,R,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Standard
13,Superbad,08/17/2007,113,R,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,Standard
14,Pineapple Express,08/06/2008,111,R,A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.,Standard
15,This Is the End,06/14/2013,107,R,"Six Los Angeles celebrities are stuck in James Franco's house after a series of devastating events just destroyed the city. Inside, the group not only have to face the apocalypse, but themselves.",Standard
16,The Interview,12/24/2014,112,R,"Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Jong-Un Kim, they are recruited by the CIA to assassinate him.",Standard
17,Sausage Party,08/12/2016,89,R,A sausage strives to discover the truth about his existence.,Standard
18,Anchorman: The Legend of Ron Burgundy,07/09/2004,94,R,"Ron Burgundy is San Diego's top-rated newsman in the male-dominated broadcasting of the 1970s, but that's all about to change for Ron and his cronies when an ambitious woman is hired as a new anchor.",Standard
19,Talladega Nights: The Ballad of Ricky Bobby,08/04/2006,108,PG-13,"Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test.",Standard
20,Step Brothers,07/25/2008,98,R,Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.,Standard
21,The Other Guys,08/06/2010,107,PG-13,"Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned.",Standard
22,Old School,02/21/2003,88,R,Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.,Standard
23,The Hangover,06/05/2009,100,R,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",Standard
24,Due Date,11/05/2010,95,R,High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.,Standard
25,The Hangover Part II,05/26/2011,102,R,"Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry.",Standard
26,The Hangover Part III,05/23/2013,100,R,"When one of their own is kidnapped by an angry gangster, the Wolf Pack must track down Mr. Chow, who has escaped from prison and is on the run.",Standard
27,Indiana Jones and the Raiders of the Lost Ark,06/12/1981,115,PG,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers. ",Standard
